Playlist_id,Playlist_name,total_track,category
37i9dQZF1DX5NXVhu59GCz,Acid Blues,40,blues
37i9dQZF1DWWtGE7PB0aRR,Brit Blues,45,blues
37i9dQZF1DWSTHVqvNCwNq,Delta Blues,45,blues
37i9dQZF1DXbkKnGZHv1kf,Blues Origins,50,blues
37i9dQZF1DXeaMD6NdSui3,Lone Star Blues,50,blues
37i9dQZF1DX4rGCw5bMNp1,Chicago Blues,50,blues
37i9dQZF1DWXbxDw7wBcIC,Scratchy Back Porch Blues,50,blues
37i9dQZF1DXa6iPZDThhLh,90s Romance Rewind,25,bollywood
37i9dQZF1DX9xdJ1j2eMr3,House Party Hits,32,bollywood
37i9dQZF1DWWfZHTa5oacf,Bollywood Sundowner,35,bollywood
37i9dQZF1DX0Uo5pVktwNd,Indipop Nostalgia,42,bollywood
37i9dQZF1DX3A421vEQpsl,Bollywood 2.O,45,bollywood
37i9dQZF1DWSwxyU5zGZYe,Bollywood Acoustic,47,bollywood
37i9dQZF1DX7KrTMVQnM02,Quiet Moment,26,chill
37i9dQZF1DWVSNuGesVjDz,Chilling 00s,40,chill
37i9dQZF1DXcuAVsi45c0d,Telugu Unplugged,41,chill
37i9dQZF1DX69KJUIzor46,Tolly Chill Out,43,chill
37i9dQZF1DWVfadOMC1ilb,Mazhai Feels..,44,chill
37i9dQZF1DXd9Uz5V4eZsn,Namaste Yoga,45,chill
37i9dQZF1DWWWSl6BMaKWo,Broadway Piano Covers,45,chill
37i9dQZF1DX9XdJRfSK6a0,An Instrumental Sunday,45,chill
37i9dQZF1DWZS4GhkDZq7c,Chill Moru,46,chill
37i9dQZF1DX319l60u7Jxg,Dinner & Chill,50,chill
37i9dQZF1DX2UXfvEIZvDK,Modern Chill Rock,50,chill
37i9dQZF1DX3TPMgP3ojGS,Coffee and Piano,50,chill
37i9dQZF1DX5g856aiKiDS,Dalkom Cafe,50,chill
37i9dQZF1DWUGsgkESc7qP,Hangover Friendly,50,chill
37i9dQZF1DX5KBgZM4MWjH,Peaceful Notes,50,chill
37i9dQZF1DX7KrTMVQnM02,Quiet Moment,26,classical
37i9dQZF1DXbw9rGYPXetO,Indian Classical Music For Studying,27,classical
37i9dQZF1DWYYCgYKqwTrX,Love & Opera,27,classical
37i9dQZF1DWUqr1os0aCxH,Jane Austen Soundtracks,30,classical
37i9dQZF1DXb2oE8NhWxT6,Classical Meets Electronica,30,classical
37i9dQZF1DWXtBjoO4Thyy,The Classical Takeover: Isabelle Faust,38,classical
37i9dQZF1DXbTR7abB7Ji7,Classical Wedding,41,classical
37i9dQZF1DX8j7VReq9MXU,Bollywood Ragas,43,classical
37i9dQZF1DWV0gynK7G6pD,Classical New Releases,44,classical
37i9dQZF1DX6QsiGlwQqfw,Hindustani Instrumental,44,classical
37i9dQZF1DX9OZisIoJQhG,Morning Classical,45,classical
37i9dQZF1DXcQDIWVt93jl,Swarabhishekam,45,classical
37i9dQZF1DX0DHxkHcf1Tl,Symphonies: Where To Start,45,classical
37i9dQZF1DWZYpU3rwrcAz,Relaxing Chopin,46,classical
37i9dQZF1DX5OGFODDcFOs,Tollywood Ragas,47,classical
37i9dQZF1DX6EUcyVKIE73,Hindustani Classical,49,classical
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,49,classical
37i9dQZF1DWVCndJIeGywh,Classical British Countryside,49,classical
37i9dQZF1DX3TPMgP3ojGS,Coffee and Piano,50,classical
37i9dQZF1DX75gMjYMWCsk,Queer Composers,50,classical
37i9dQZF1DWXBq4mDDFnfA,Classical Guitar 50: Spotify Picks,50,classical
37i9dQZF1DWXjj6kdiviS0,Baroque 50: Spotify Picks,50,classical
37i9dQZF1DWUqIzZNMSCv3,Gentle Piano Concertos,50,classical
37i9dQZF1DXcbK8HZQNxAq,Indie Classical: Composed In 21st Century,50,classical
37i9dQZF1DXbaZdHeCwl9C,Early Classical,50,classical
37i9dQZF1DX8qDhzfjyTN6,Romantic Era 50: Spotify Picks,50,classical
37i9dQZF1DX20xDs0SXeZu,Classical Era 50: Spotify Picks,50,classical
37i9dQZF1DXabrEiRjQMgs,Ballet and Beyond,50,classical
37i9dQZF1DWXi6GqUgtvam,Lute Music For Alchemists,50,classical
37i9dQZF1DX8ONeLSIu0Ai,Modernism 50: Spotify Picks,50,classical
37i9dQZF1DX7dzHXrANAir,Classical X,50,classical
37i9dQZF1DWXMEbgClM8hw,All About That Brass,50,classical
37i9dQZF1DXd7PzoVhovvO,Bach Switched-On,50,classical
37i9dQZF1DX8GBmCO89g8U,Electroacoustic 50: Spotify Picks,50,classical
37i9dQZF1DWYi4w24l7FTx,Spotify Orchestra: Cello,50,classical
37i9dQZF1DX0z6CeZuw5dA,Folk-inspired Classical Music,50,classical
37i9dQZF1DX6lFrpdIb4I8,Avant-garde 50: Spotify Picks,50,classical
37i9dQZF1DWYZW76Iw4Lij,Medieval 50: Spotify Picks,50,classical
37i9dQZF1DX0ynPp7KaiSY,Winter Classical,50,classical
37i9dQZF1DWSNNoRF9meHq,Bittersweet Symphony,50,classical
37i9dQZF1DX26QWUiyfm38,Short & Sweet: Classical Miniatures,50,classical
37i9dQZF1DX0CM2xT3aAkN,Essence of the Renaissance,50,classical
37i9dQZF1DX13kFuGnInkY,ACM Presents:  Our Country,24,country
37i9dQZF1DWXi7h4mmmkzD,Country Nights,40,country
37i9dQZF1DXdXh4ecan7Hh,Spotify Singles: Country,41,country
37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,50,country
37i9dQZF1DX7aUUBCKwo4Y,Nashville's Worldwide Hot 50,50,country
37i9dQZF1DX6P1Nsk3wSZX,Hot Country - Top Tracks of 2018,50,country
37i9dQZF1DWXU4C3nPzApC,Very Nearly Nashville,50,country
37i9dQZF1DX3RCeShx2suK,Hot Country Presents...Best Country Songs of 2019,50,country
37i9dQZF1DX1N9hVU2pAoX,Tim: The Extended Story,27,edm_dance
